lat,lon,date,city,country
,,05/27/2014 13:40,Barcelona,Spain
,,05/27/2014 13:55,Barcelona,Spain
,,05/27/2014 14:25,Barcelona,Spain
,,05/27/2014 14:40,Barcelona,Spain
,,05/27/2014 14:56,Barcelona,Spain
,,05/27/2014 15:10,Barcelona,Spain
,,05/27/2014 15:41,Barcelona,Spain
,,05/27/2014 15:55,Barcelona,Spain
,,05/27/2014 17:10,Barcelona,Spain
,,05/27/2014 17:40,Barcelona,Spain
,,05/27/2014 17:55,Barcelona,Spain
,,05/27/2014 19:26,Barcelona,Spain
,,05/27/2014 19:40,Barcelona,Spain
,,05/27/2014 20:10,Barcelona,Spain
,,05/27/2014 21:10,Barcelona,Spain
,,05/27/2014 21:40,Barcelona,Spain
,,05/28/2014 09:25,Barcelona,Spain
,,05/28/2014 09:40,Barcelona,Spain
,,05/28/2014 09:55,Barcelona,Spain
,,05/28/2014 10:10,Barcelona,Spain
,,05/28/2014 12:25,Barcelona,Spain
,,05/28/2014 12:55,Barcelona,Spain
,,05/28/2014 14:10,Barcelona,Spain
,,05/28/2014 14:25,Barcelona,Spain
,,05/28/2014 14:40,Barcelona,Spain
,,05/28/2014 15:10,Barcelona,Spain
,,05/28/2014 15:25,Barcelona,Spain
,,05/28/2014 15:40,Barcelona,Spain
,,05/28/2014 15:55,Barcelona,Spain
,,05/28/2014 16:10,Barcelona,Spain
,,05/28/2014 16:25,Barcelona,Spain
,,05/28/2014 19:25,Barcelona,Spain
,,05/28/2014 19:40,Barcelona,Spain
,,05/28/2014 21:25,Barcelona,Spain
,,05/29/2014 07:55,Barcelona,Spain
,,05/29/2014 09:40,Barcelona,Spain
,,05/29/2014 10:55,Barcelona,Spain
,,05/29/2014 11:25,Barcelona,Spain
,,05/29/2014 11:55,Barcelona,Spain
,,05/29/2014 12:25,Barcelona,Spain
,,05/29/2014 12:55,Barcelona,Spain
,,05/29/2014 14:25,Barcelona,Spain
,,05/29/2014 15:25,Barcelona,Spain
,,05/29/2014 15:40,Barcelona,Spain
,,05/29/2014 16:25,Barcelona,Spain
,,05/29/2014 16:29,Barcelona,Spain
,,05/29/2014 16:43,Barcelona,Spain
,,05/29/2014 17:10,Barcelona,Spain
,,05/29/2014 17:24,Barcelona,Spain
,,05/29/2014 17:39,Barcelona,Spain
,,05/29/2014 18:10,Barcelona,Spain
,,05/29/2014 18:24,Barcelona,Spain
,,05/29/2014 18:39,Barcelona,Spain
,,05/29/2014 18:54,Barcelona,Spain
,,05/29/2014 19:10,Barcelona,Spain
,,05/29/2014 19:24,Barcelona,Spain
,,05/29/2014 19:55,Barcelona,Spain
,,05/29/2014 20:09,Barcelona,Spain
,,05/29/2014 20:39,Barcelona,Spain
,,05/30/2014 03:09,Barcelona,Spain
,,05/30/2014 03:54,Barcelona,Spain
,,05/30/2014 10:24,Barcelona,Spain
,,05/30/2014 10:39,Barcelona,Spain
,,05/30/2014 16:10,Zendek,Poland
,,05/30/2014 16:39,Tarnowskie Góry County,Poland
,,05/30/2014 16:55,Silesian Voivodeship,Poland
,,05/30/2014 17:10,Dabrowa Gornicza,Poland
,,05/30/2014 17:25,Olkusz County,Poland
,,05/30/2014 17:59,Krakow,Poland
,,05/30/2014 18:10,Krakow,Poland
,,05/30/2014 18:25,Krakow,Poland
,,05/30/2014 18:40,Krakow,Poland
,,05/30/2014 18:55,Krakow,Poland
,,05/30/2014 19:24,Kraków-Śródmieście,Poland
,,05/30/2014 19:39,Kraków-Śródmieście,Poland
,,05/30/2014 19:55,Krakow,Poland
,,05/30/2014 20:25,Krakow,Poland
,,05/30/2014 20:54,Krakow,Poland
,,05/30/2014 21:39,Krakow,Poland
,,05/31/2014 06:55,Krakow,Poland
,,05/31/2014 08:24,Oswiecim,Poland
,,05/31/2014 12:55,"Babice, Oświęcim County",Poland
,,05/31/2014 13:10,"Wygiełzów, Lesser Poland Voivodeship",Poland
,,05/31/2014 13:25,Chrzanów County,Poland
,,05/31/2014 13:40,Krakow,Poland
,,05/31/2014 13:55,Krakow,Poland
,,05/31/2014 14:09,Krakow,Poland
,,05/31/2014 14:40,Krakow,Poland
,,05/31/2014 15:10,Kraków-Śródmieście,Poland
,,05/31/2014 15:24,Kraków-Śródmieście,Poland
,,05/31/2014 15:55,Kraków-Śródmieście,Poland
,,05/31/2014 16:09,Krakow,Poland
,,05/31/2014 16:25,Krakow,Poland
,,05/31/2014 16:40,Krakow,Poland
,,05/31/2014 16:55,Krakow,Poland
,,05/31/2014 17:26,Krakow,Poland
,,05/31/2014 17:40,Krakow,Poland
